,indicator,year,sex,race_ethnicity,value,place,95pc_con_lvl-low,95pc_con_lvl-high
18966,Percent of Adults Who Received Seasonal Flu Shot,2014,Male,All,37.1,"Portland (Multnomah County), OR",31.3,42.9
18967,Percent of Adults Who Received Seasonal Flu Shot,2014,Male,All,38.5,"Denver, CO",33.8,43.3
18968,Percent of Adults Who Received Seasonal Flu Shot,2014,Male,All,38.7,"San Diego County, CA",33.1,44.4
18969,Percent of Adults Who Received Seasonal Flu Shot,2014,Male,All,39.8,"New York City, NY",37.7,41.9
18970,Percent of Adults Who Received Seasonal Flu Shot,2014,Male,All,40.1,"U.S. Total, U.S. Total",39.3,40.9
18971,Percent of Adults Who Received Seasonal Flu Shot,2014,Male,All,57.9,"San Francisco, CA",44.8,71.0
18972,Percent of Adults Who Received Seasonal Flu Shot,2014,Male,All ,36.0,"Seattle, WA",30.0,42.0
18973,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,All,0.5,"Oakland (Alameda County), CA",42.0,61.5
18974,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,All,29.4,"Las Vegas (Clark County), NV",25.9,33.0
18975,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,All,32.9,"Columbus, OH",26.4,39.3
18976,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,All,37.7,"Indianapolis (Marion County), IN",33.5,41.9
18977,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,All,41.3,"Fort Worth (Tarrant County), TX",38.8,43.8
18979,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,All,43.3,"Portland (Multnomah County), OR",72.6,87.5
18980,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,All,43.8,"New York City, NY",42.4,45.1
18981,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,All,43.8,"San Diego County, CA",39.0,48.7
18982,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,All,47.3,"San Antonio, TX",41.6,53.1
18983,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,All,48.8,"Denver, CO",43.2,54.5
18984,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,All,48.9,"Charlotte, NC",43.0,54.8
18986,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,All,49.7,"San Francisco, CA",34.6,64.9
18987,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,All ,41.0,"Seattle, WA",38.0,45.0
18988,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Asian/PI,0.5,"Oakland (Alameda County), CA",27.0,72.6
18989,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Asian/PI,19.5,"Las Vegas (Clark County), NV",8.5,30.5
18990,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Asian/PI,34.0,"Seattle, WA",24.0,46.0
18991,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Asian/PI,44.9,"San Diego County, CA",25.4,64.5
18992,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Asian/PI,45.7,"Fort Worth (Tarrant County), TX",30.8,61.4
18993,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Asian/PI,50.6,"New York City, NY",47.1,54.2
18998,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Black,0.5,"Oakland (Alameda County), CA",28.5,62.8
18999,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Black,22.8,"Las Vegas (Clark County), NV",13.6,32.1
19000,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Black,25.6,"Columbus, OH",14.1,37.1
19001,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Black,28.0,"Seattle, WA",16.0,46.0
19002,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Black,34.6,"Fort Worth (Tarrant County), TX",28.6,41.2
19003,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Black,35.8,"Indianapolis (Marion County), IN",26.2,45.5
19004,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Black,39.2,"New York City, NY",36.5,41.9
19005,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Black,41.0,"Charlotte, NC",30.8,51.1
19006,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Black,41.0,"Denver, CO",21.6,60.3
19007,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Black,41.8,"San Diego County, CA",21.5,62.1
19011,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Hispanic,25.0,"Las Vegas (Clark County), NV",17.8,32.2
19012,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Hispanic,32.7,"Fort Worth (Tarrant County), TX",27.3,38.6
19013,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Hispanic,34.0,"Seattle, WA",21.0,51.0
19014,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Hispanic,39.7,"San Diego County, CA",32.6,46.8
19015,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Hispanic,41.5,"San Antonio, TX",33.5,49.9
19016,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Hispanic,46.0,"New York City, NY",43.6,48.3
19017,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Hispanic,46.7,"Denver, CO",34.6,58.9
19018,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Hispanic,64.4,"Oakland (Alameda County), CA",42.3,86.5
19023,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Other,0.3,"Oakland (Alameda County), CA",0.9,51.0
19024,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Other,24.6,"Fort Worth (Tarrant County), TX",14.9,37.7
19025,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Other,35.1,"Las Vegas (Clark County), NV",14.4,55.8
19026,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Other,42.1,"New York City, NY",33.6,51.1
19027,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Other,46.0,"Seattle, WA",28.0,64.0
19028,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,Other,55.4,"Denver, CO",31.8,78.9
19035,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,White,0.5,"Oakland (Alameda County), CA",35.7,62.1
19036,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,White,35.0,"Las Vegas (Clark County), NV",30.0,39.9
19037,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,White,35.8,"Columbus, OH",27.5,44.1
19038,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,White,40.2,"Indianapolis (Marion County), IN",35.3,45.1
19039,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,White,42.3,"New York City, NY",39.8,44.9
19040,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,White,45.0,"Seattle, WA",41.0,49.0
19041,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,White,46.8,"San Diego County, CA",41.0,52.6
19042,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,White,47.8,"Fort Worth (Tarrant County), TX",44.7,50.9
19043,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,White,51.2,"Denver, CO",44.0,58.4
19044,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,White,57.8,"Charlotte, NC",49.0,66.7
19045,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,White,57.8,"San Francisco, CA",40.2,75.3
19046,Percent of Adults Who Received Seasonal Flu Shot,2015,Both,White,58.2,"San Antonio, TX",49.5,66.5
19048,Percent of Adults Who Received Seasonal Flu Shot,2015,Female,All,0.5,"Oakland (Alameda County), CA",43.3,63.2
19049,Percent of Adults Who Received Seasonal Flu Shot,2015,Female,All,28.3,"Charlotte, NC",21.5,35.1
19050,Percent of Adults Who Received Seasonal Flu Shot,2015,Female,All,29.5,"Las Vegas (Clark County), NV",24.9,34.2
19051,Percent of Adults Who Received Seasonal Flu Shot,2015,Female,All,40.9,"Columbus, OH",32.0,49.8
19052,Percent of Adults Who Received Seasonal Flu Shot,2015,Female,All,43.2,"Fort Worth (Tarrant County), TX",39.9,46.6
19053,Percent of Adults Who Received Seasonal Flu Shot,2015,Female,All,44.0,"Seattle, WA",39.0,49.0
19054,Percent of Adults Who Received Seasonal Flu Shot,2015,Female,All,45.3,"Indianapolis (Marion County), IN",39.3,51.2
19055,Percent of Adults Who Received Seasonal Flu Shot,2015,Female,All,45.9,"San Antonio, TX",38.5,53.5
19056,Percent of Adults Who Received Seasonal Flu Shot,2015,Female,All,47.3,"Portland (Multnomah County), OR",41.3,53.3
19057,Percent of Adults Who Received Seasonal Flu Shot,2015,Female,All,47.4,"New York City, NY",45.6,49.3
19058,Percent of Adults Who Received Seasonal Flu Shot,2015,Female,All,49.9,"San Diego County, CA",41.9,57.8
19059,Percent of Adults Who Received Seasonal Flu Shot,2015,Female,All,55.6,"Denver, CO",47.8,63.5
19060,Percent of Adults Who Received Seasonal Flu Shot,2015,Female,All,57.4,"San Francisco, CA",41.1,73.7
19061,Percent of Adults Who Received Seasonal Flu Shot,2015,Male,All,0.5,"Oakland (Alameda County), CA",35.8,64.8
19062,Percent of Adults Who Received Seasonal Flu Shot,2015,Male,All,25.4,"Columbus, OH",16.6,34.2
19063,Percent of Adults Who Received Seasonal Flu Shot,2015,Male,All,28.3,"Charlotte, NC",20.2,36.5
19064,Percent of Adults Who Received Seasonal Flu Shot,2015,Male,All,29.1,"Indianapolis (Marion County), IN",24.0,34.3
19065,Percent of Adults Who Received Seasonal Flu Shot,2015,Male,All,29.3,"Las Vegas (Clark County), NV",24.0,34.7
19066,Percent of Adults Who Received Seasonal Flu Shot,2015,Male,All,37.7,"San Diego County, CA",29.3,46.1
19067,Percent of Adults Who Received Seasonal Flu Shot,2015,Male,All,39.2,"Fort Worth (Tarrant County), TX",35.6,42.8
19068,Percent of Adults Who Received Seasonal Flu Shot,2015,Male,All,39.2,"Portland (Multnomah County), OR",33.2,45.2
19069,Percent of Adults Who Received Seasonal Flu Shot,2015,Male,All,39.8,"New York City, NY",37.9,41.8
19070,Percent of Adults Who Received Seasonal Flu Shot,2015,Male,All,42.5,"Denver, CO",34.5,50.5
19071,Percent of Adults Who Received Seasonal Flu Shot,2015,Male,All,43.2,"San Francisco, CA",18.8,67.6
19072,Percent of Adults Who Received Seasonal Flu Shot,2015,Male,All,48.9,"San Antonio, TX",40.0,57.8
19073,Percent of Adults Who Received Seasonal Flu Shot,2015,Male,All ,39.0,"Seattle, WA",34.0,44.0
19074,Percent of Adults Who Received Seasonal Flu Shot,2016,Both,All,38.0,"Columbus, OH",32.2,43.7
19076,Percent of Adults Who Received Seasonal Flu Shot,2016,Both,All,42.5,"Denver, CO",39.2,45.8
19077,Percent of Adults Who Received Seasonal Flu Shot,2016,Both,All,45.8,"San Diego County, CA",40.9,50.7
19078,Percent of Adults Who Received Seasonal Flu Shot,2016,Both,Asian/PI,36.9,"San Diego County, CA",21.9,51.8
19081,Percent of Adults Who Received Seasonal Flu Shot,2016,Both,Black,32.4,"Columbus, OH",21.9,42.9
19082,Percent of Adults Who Received Seasonal Flu Shot,2016,Both,Black,38.4,"Denver, CO",25.7,51.0
19083,Percent of Adults Who Received Seasonal Flu Shot,2016,Both,Black,55.0,"San Diego County, CA",37.3,72.7
19084,Percent of Adults Who Received Seasonal Flu Shot,2016,Both,Hispanic,37.1,"San Diego County, CA",30.2,44.1
19085,Percent of Adults Who Received Seasonal Flu Shot,2016,Both,Hispanic,38.7,"Denver, CO",32.0,45.5
19087,Percent of Adults Who Received Seasonal Flu Shot,2016,Both,Other,47.8,"San Diego County, CA",21.4,74.1
19088,Percent of Adults Who Received Seasonal Flu Shot,2016,Both,Other,51.3,"Denver, CO",36.8,65.9
19090,Percent of Adults Who Received Seasonal Flu Shot,2016,Both,White,42.4,"Columbus, OH",34.8,50.0
19091,Percent of Adults Who Received Seasonal Flu Shot,2016,Both,White,44.5,"Denver, CO",40.3,48.7
19092,Percent of Adults Who Received Seasonal Flu Shot,2016,Both,White,52.7,"San Diego County, CA",45.6,59.8
19093,Percent of Adults Who Received Seasonal Flu Shot,2016,Female,All,42.7,"Columbus, OH",34.8,50.6
19094,Percent of Adults Who Received Seasonal Flu Shot,2016,Female,All,47.2,"San Diego County, CA",40.4,54.1
19095,Percent of Adults Who Received Seasonal Flu Shot,2016,Female,All,47.3,"Denver, CO",42.6,52.1
19096,Percent of Adults Who Received Seasonal Flu Shot,2016,Male,All,33.1,"Columbus, OH",24.9,41.4
19097,Percent of Adults Who Received Seasonal Flu Shot,2016,Male,All,37.7,"Denver, CO",33.0,42.3
19098,Percent of Adults Who Received Seasonal Flu Shot,2016,Male,All,44.3,"San Diego County, CA",36.7,51.9
19099,Percent of Children Who Received Seasonal Flu Shot,2010,Both,All,46.9,"U.S. Total, U.S. Total",45.2,48.7
19100,Percent of Children Who Received Seasonal Flu Shot,2010,Both,American Indian/Alaska Native,46.8,"U.S. Total, U.S. Total",31.3,65.5
19101,Percent of Children Who Received Seasonal Flu Shot,2010,Both,Asian/PI,56.4,"U.S. Total, U.S. Total",50.3,62.6
19103,Percent of Children Who Received Seasonal Flu Shot,2010,Both,Black,46.6,"U.S. Total, U.S. Total",41.8,51.6
19105,Percent of Children Who Received Seasonal Flu Shot,2010,Both,Hispanic,50.5,"U.S. Total, U.S. Total",47.0,54.1
19106,Percent of Children Who Received Seasonal Flu Shot,2010,Both,Multiracial,45.3,"U.S. Total, U.S. Total",38.4,52.8
19107,Percent of Children Who Received Seasonal Flu Shot,2010,Both,White,44.7,"U.S. Total, U.S. Total",42.5,47.0
19108,Percent of Children Who Received Seasonal Flu Shot,2010,Female,All,48.2,"U.S. Total, U.S. Total",45.9,50.5
19109,Percent of Children Who Received Seasonal Flu Shot,2010,Male,All,45.7,"U.S. Total, U.S. Total",43.2,48.3
19111,Percent of Children Who Received Seasonal Flu Shot,2011,Both,All,47.1,"U.S. Total, U.S. Total",45.3,48.9
19114,Percent of Children Who Received Seasonal Flu Shot,2011,Both,All,51.1,"San Diego County, CA",40.3,61.9
19116,Percent of Children Who Received Seasonal Flu Shot,2011,Both,American Indian/Alaska Native,59.8,"U.S. Total, U.S. Total",45.5,74.5
19117,Percent of Children Who Received Seasonal Flu Shot,2011,Both,Asian/PI,62.5,"U.S. Total, U.S. Total",55.4,69.5
19125,Percent of Children Who Received Seasonal Flu Shot,2011,Both,Hispanic,50.2,"U.S. Total, U.S. Total",46.9,53.6
19126,Percent of Children Who Received Seasonal Flu Shot,2011,Both,Hispanic,61.0,"San Diego County, CA",46.8,75.1
19128,Percent of Children Who Received Seasonal Flu Shot,2011,Both,Multiracial,49.9,"U.S. Total, U.S. Total",43.0,57.2
19132,Percent of Children Who Received Seasonal Flu Shot,2011,Both,White,41.4,"San Diego County, CA",25.8,57.1
19133,Percent of Children Who Received Seasonal Flu Shot,2011,Both,White,44.1,"U.S. Total, U.S. Total",41.5,46.7
19136,Percent of Children Who Received Seasonal Flu Shot,2011,Female,All,47.0,"U.S. Total, U.S. Total",44.6,49.6
19137,Percent of Children Who Received Seasonal Flu Shot,2011,Female,All,50.2,"San Diego County, CA",31.9,68.6
19139,Percent of Children Who Received Seasonal Flu Shot,2011,Male,All,47.2,"U.S. Total, U.S. Total",44.7,49.7
19140,Percent of Children Who Received Seasonal Flu Shot,2011,Male,All,52.0,"San Diego County, CA",39.5,64.4
19147,Percent of Children Who Received Seasonal Flu Shot,2012,Both,All,54.8,"San Diego County, CA",47.6,62.0
19148,Percent of Children Who Received Seasonal Flu Shot,2012,Both,All,56.6,"U.S. Total, U.S. Total",55.7,57.5
19161,Percent of Children Who Received Seasonal Flu Shot,2012,Both,Hispanic,51.8,"San Diego County, CA",41.0,62.6
19168,Percent of Children Who Received Seasonal Flu Shot,2012,Both,White,61.8,"San Diego County, CA",49.1,74.5
19173,Percent of Children Who Received Seasonal Flu Shot,2012,Female,All,51.5,"San Diego County, CA",39.0,64.0
19174,Percent of Children Who Received Seasonal Flu Shot,2012,Female,All,56.7,"U.S. Total, U.S. Total",55.5,56.9
19179,Percent of Children Who Received Seasonal Flu Shot,2012,Male,All,56.4,"U.S. Total, U.S. Total",55.2,57.6
19180,Percent of Children Who Received Seasonal Flu Shot,2012,Male,All,57.6,"San Diego County, CA",47.9,67.4
19186,Percent of Children Who Received Seasonal Flu Shot,2013,Both,All,58.9,"U.S. Total, U.S. Total",58.1,59.7
19191,Percent of Children Who Received Seasonal Flu Shot,2013,Both,American Indian/Alaska Native,65.5,"U.S. Total, U.S. Total",59.9,71.1
19194,Percent of Children Who Received Seasonal Flu Shot,2013,Both,Asian/PI,70.6,"U.S. Total, U.S. Total",67.4,73.8
19199,Percent of Children Who Received Seasonal Flu Shot,2013,Both,Black,57.2,"U.S. Total, U.S. Total",55.0,59.4
19204,Percent of Children Who Received Seasonal Flu Shot,2013,Both,Hispanic,66.0,"U.S. Total, U.S. Total",63.9,68.1
19209,Percent of Children Who Received Seasonal Flu Shot,2013,Both,White,55.2,"U.S. Total, U.S. Total",54.3,53.1
19213,Percent of Children Who Received Seasonal Flu Shot,2013,Female,All,59.3,"U.S. Total, U.S. Total",58.2,60.4
19217,Percent of Children Who Received Seasonal Flu Shot,2013,Male,All,58.6,"U.S. Total, U.S. Total",57.5,59.7
19223,Percent of Children Who Received Seasonal Flu Shot,2014,Both,All,54.1,"San Diego County, CA",45.7,62.5
19224,Percent of Children Who Received Seasonal Flu Shot,2014,Both,All,59.3,"U.S. Total, U.S. Total",58.5,60.1
19227,Percent of Children Who Received Seasonal Flu Shot,2014,Both,American Indian/Alaska Native,67.0,"U.S. Total, U.S. Total",61.1,72.9
19230,Percent of Children Who Received Seasonal Flu Shot,2014,Both,Asian/PI,72.1,"U.S. Total, U.S. Total",68.6,75.6
19235,Percent of Children Who Received Seasonal Flu Shot,2014,Both,Black,58.3,"U.S. Total, U.S. Total",55.8,60.8
19240,Percent of Children Who Received Seasonal Flu Shot,2014,Both,Hispanic,62.2,"San Diego County, CA",51.1,73.2
19241,Percent of Children Who Received Seasonal Flu Shot,2014,Both,Hispanic,64.2,"U.S. Total, U.S. Total",62.4,66.0
19247,Percent of Children Who Received Seasonal Flu Shot,2014,Both,White,38.8,"San Diego County, CA",25.0,52.5
19249,Percent of Children Who Received Seasonal Flu Shot,2014,Both,White,56.0,"U.S. Total, U.S. Total",55.1,56.9
19254,Percent of Children Who Received Seasonal Flu Shot,2014,Female,All,51.4,"San Diego County, CA",40.6,62.3
19255,Percent of Children Who Received Seasonal Flu Shot,2014,Female,All,59.0,"U.S. Total, U.S. Total",58.0,60.0
19260,Percent of Children Who Received Seasonal Flu Shot,2014,Male,All,56.9,"San Diego County, CA",44.3,69.5
19261,Percent of Children Who Received Seasonal Flu Shot,2014,Male,All,59.5,"U.S. Total, U.S. Total",58.4,60.6
19264,Percent of Children Who Received Seasonal Flu Shot,2015,Both,All,50.2,"San Diego County, CA",32.6,67.8
19279,Percent of Children Who Received Seasonal Flu Shot,2015,Both,White,46.5,"San Diego County, CA",20.7,72.3
19283,Percent of Children Who Received Seasonal Flu Shot,2015,Female,All,50.3,"San Diego County, CA",26.1,74.5
19287,Percent of Children Who Received Seasonal Flu Shot,2015,Male,All,50.0,"San Diego County, CA",31.1,68.9
19291,Percent of Children Who Received Seasonal Flu Shot,2016,Both,All,49.3,"San Diego County, CA",38.2,60.4
19296,Percent of Children Who Received Seasonal Flu Shot,2016,Both,Hispanic,41.7,"San Diego County, CA",25.0,58.3
19301,Percent of Children Who Received Seasonal Flu Shot,2016,Both,White,66.8,"San Diego County, CA",47.7,85.8
19303,Percent of Children Who Received Seasonal Flu Shot,2016,Female,All,41.1,"San Diego County, CA",24.4,57.8
19307,Percent of Children Who Received Seasonal Flu Shot,2016,Male,All,57.8,"San Diego County, CA",40.0,75.7
19309,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,8.2,"Seattle, WA",6.1,11.0
19313,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,12.7,"Indianapolis (Marion County), IN",10.4,15.4
19319,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,14.7,"San Francisco, CA",13.3,16.2
19322,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,16.4,"Oakland (Alameda County), CA",12.6,20.8
19324,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,19.1,"Columbus, OH",15.5,23.3
19325,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,21.1,"Las Vegas (Clark County), NV",18.8,23.3
19326,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,41.2,"San Antonio, TX",37.9,44.5
19329,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,7.8,"Seattle, WA",3.1,18.6
19331,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,13.9,"Las Vegas (Clark County), NV",7.3,20.5
19334,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,16.1,"San Francisco, CA",13.9,18.7
19335,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,21.8,"Oakland (Alameda County), CA",13.5,33.3
19345,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,15.4,"San Francisco, CA",10.3,22.1
19346,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,16.9,"Oakland (Alameda County), CA",10.3,26.1
19349,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,27.3,"Las Vegas (Clark County), NV",18.0,36.6
19351,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,49.7,"San Antonio, TX",36.1,66.7
19362,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,14.0,"Las Vegas (Clark County), NV",8.9,19.1
19364,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,43.6,"San Antonio, TX",38.4,48.9
19369,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Other,6.8,"Las Vegas (Clark County), NV",0.0,16.3
19374,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,8.0,"Seattle, WA",5.7,11.5
19381,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,12.1,"Indianapolis (Marion County), IN",9.6,15.3
19386,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,14.3,"Oakland (Alameda County), CA",8.9,21.9
19387,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,14.3,"San Francisco, CA",12.3,16.7
19391,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,22.7,"Las Vegas (Clark County), NV",19.9,25.5
19392,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,23.2,"Columbus, OH",18.5,28.7
19393,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,38.7,"San Antonio, TX",34.1,43.4
19395,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,7.2,"Seattle, WA",4.7,11.1
19401,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,10.7,"Indianapolis (Marion County), IN",8.0,14.0
19402,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,10.9,"San Francisco, CA",9.4,12.6
19403,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,11.5,"Oakland (Alameda County), CA",7.8,16.5
19410,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,16.3,"Columbus, OH",12.1,21.4
19411,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,16.9,"Las Vegas (Clark County), NV",14.2,19.6
19412,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,33.3,"San Antonio, TX",29.4,37.2
19413,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,8.9,"Seattle, WA",5.7,13.7
19419,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,16.5,"Indianapolis (Marion County), IN",12.3,21.7
19426,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,20.1,"San Francisco, CA",17.6,22.9
19428,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,22.6,"Oakland (Alameda County), CA",15.7,31.4
19430,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,23.4,"Columbus, OH",17.3,31.0
19431,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,26.5,"Las Vegas (Clark County), NV",22.7,30.3
19432,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,53.2,"San Antonio, TX",47.2,59.3
19439,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,11.8,"Indianapolis (Marion County), IN",9.6,14.4
19440,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,11.9,"Portland (Multnomah County), OR",8.9,14.1
19455,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,20.8,"Las Vegas (Clark County), NV",18.6,23.0
19456,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,21.8,"Columbus, OH",17.8,25.9
19468,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Asian/PI,16.5,"Las Vegas (Clark County), NV",9.7,23.2
19485,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,19.2,"Columbus, OH",12.3,28.6
19486,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,19.6,"Las Vegas (Clark County), NV",12.3,26.9
19502,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Hispanic,17.3,"Las Vegas (Clark County), NV",11.8,22.9
19512,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Other,7.6,"Las Vegas (Clark County), NV",0.0,18.2
19521,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,11.4,"Portland (Multnomah County), OR",8.9,14.5
19523,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,12.5,"Indianapolis (Marion County), IN",9.9,15.7
19535,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,22.2,"Las Vegas (Clark County), NV",19.5,25.0
19536,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,23.2,"Columbus, OH",18.5,28.7
19545,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,10.3,"Indianapolis (Marion County), IN",7.7,13.6
